#NAME(1),a(au),Period(day),Excentricity(1),Mass(Mjup),Mstar(Msun),Rstar(Rsun),Teff(K),Rplanet(Rjup)
Kepler-107_d,0.0780099,7.958203,,0.00371234,,1.411,5851,0.095459
WASP-14_b,0.0367693,2.243752,0.091,7.69234,1.31,1.31,6475,1.281
Kepler-50_b,0.0825598,7.8125124,,0.0164915,1.23,1.88,6058,0.196096
NN_Ser_d,3.70596,2605,0.05,0.642621,,,,
Kepler-20_b,0.0453704,3.6961219,0,0.0266646,0.912,0.944,5466,0.170247
HAT-P-27_b,0.0399488,3.039577,0,0.617485,0.92,0.87,5190,1.02
Kepler-181_b,0.0419466,3.137873,,0.00674351,,0.749,5333,0.113302
HD_116029_b,1.64869,670,0,1.9075,1.33,5.04235,4811,
Kepler-207_b,0.0269045,1.611865,,0.0117295,,1.588,5920,0.140066
HD_219828_b,0.0515012,3.8334999,0,0.0622185,1.24,1.4682,5891,
Kepler-11_c,0.106909,13.0241,0.0256125,0.00912437,0.961,1.065,5663,0.255816
HD_1237_b,0.494668,133.71001,0.511,3.3748,0.9,0.858011,5536,
WASP-21_b,0.0521087,4.322482,0,0.300272,1.01,1.06,5800,1.07
Kepler-284_c,0.219317,37.514456,,0.0210192,,0.814,5615,0.232849
Kepler-186_c,0.0574114,7.267302,0.03,0.00636705,0.478,0.472,3788,0.111418
HD_4308_b,0.119192,15.56,0,0.0477376,0.933,0.82259,5695,
Kepler-239_b,0.101225,11.763051,,0.0177874,,0.763,4914,0.207869
Kepler-174_b,0.113583,13.98179,,0.014454,,0.622,4880,0.174859
Kepler-224_d,0.0988375,11.349393,,0.0174811,,0.676,5018,0.205192
Kepler-389_c,0.116434,14.51143,,0.0107805,,0.792,5376,0.130252
Kepler-254_c,0.104915,12.412183,,0.0160511,,0.91,5957,0.19181
Kepler-236_c,0.162691,23.968127,,0.0147725,,0.51,3750,0.178428
WASP-25_b,0.0473714,3.764825,0,0.57847,1,0.92,5750,1.22
Kepler-186_d,0.0860831,13.342996,0.03,0.00934866,0.478,0.472,3788,0.12479
HD_24040_b,4.92406,3668,0.04,4.02189,1.18,1.15444,5852.73,
Kepler-359_c,0.292189,57.68802,,0.0607789,,1.086,6248,0.38362
Kepler-211_c,0.0649112,6.04045,,0.00711292,,0.816,5123,0.115086
Kepler-294_c,0.0690438,6.6264,,0.0223552,,0.976,5913,0.24177
Kepler-263_c,0.256083,47.332773,,0.019315,,0.785,5265,0.220359
Kepler-349_b,0.0641159,5.929778,,0.0139923,,0.927,5956,0.169507
HD_200964_b,1.64347,613.8,0.04,1.94873,1.57,3.80029,5082,
HD_147018_b,0.238855,44.236,0.4686,2.12711,0.927,1.05268,5441,
HD_218566_b,0.687282,225.7,0.3,0.212872,0.85,0.590728,4820,
HD_45364_b,0.68156,226.93,0.1684,0.187149,0.82,1.02464,5434,
Kepler-361_b,0.081426,8.486616,,0.010538,,1.343,6169,0.12936
Kepler-318_c,0.101523,11.815007,,0.0419521,,1.189,5746,0.328308
Kepler-372_b,0.0705863,6.849692,,0.00850717,,1.137,6509,0.121331
Kepler-197_e,0.168262,25.209715,,0.00208313,,1.12,6004,0.0811848
HD_141937_b,1.50087,653.21997,0.41,9.4752,1.048,1.06384,5846.82,
Kepler-405_c,0.187804,29.726682,,0.071727,,0.893,5818,0.415737
Kepler-104_d,0.271796,51.755394,,0.0392746,,1.349,5711,0.319386
Kepler-26_d,0.0454914,3.543919,,0.00371234,,0.571,4486,0.095459
Kepler-159_b,0.0916828,10.139623,,0.0183139,,0.663,4625,0.212329
HD_156668_b,0.0499846,4.6455,0,0.0130582,0.772,0.728691,4850,
MOA-2009-BLG-387L_b,1.76808,1970,,2.6,0.19,,,
Kepler-32_f,0.0130732,0.74296,0,0.00143611,0.54,0.53,3793,0.0730903
WASP-103_b,0.0198682,0.925542,0,1.48791,1.22,1.436,6110,1.528
Kepler-221_e,0.136253,18.369917,,0.0212781,,0.821,5243,0.234633
Kepler-256_c,0.0441473,3.38802,,0.0160511,,1.301,5551,0.19181
GJ_649_b,1.13179,598.3,0.3,0.325341,0.54,,3700,
Kepler-276_b,0.114376,14.12841,,0.0247188,,1.046,6105,0.256044
Kepler-264_c,0.52792,140.101261,,0.0241007,,1.55,6158,0.252476
HD_132406_b,1.98227,974,0.34,5.60495,1.09,,5885,
Kepler-143_b,0.124306,16.007583,,0.0186399,,1.359,5848,0.215006
Kepler-189_c,0.144846,20.134866,,0.0183139,,0.75,5235,0.212329
HD_38529_c,3.6002,2146.0503,0.355094,12.2603,1.34,2.02418,5674,
Kepler-62_b,0.0552794,5.714932,0.0707107,0,0.69,0.64,4925,0.116766
Kepler-281_b,0.117153,14.646008,,0.0239491,,0.899,5723,0.251584
Kepler-196_c,0.256426,47.427737,,0.0168894,,0.782,5128,0.199839
Kepler-238_c,0.0657332,6.155557,,0.0184218,,1.43,5751,0.213222
Kepler-49_c,0.07889,10.9129343,,0.0202381,0.55,0.53,3974,0.227293
Kepler-55_c,0.202122,42.1516418,,0.016585,0.62,0.58,4362,0.196987
WASP-19_b,0.0163152,0.78884,0.0046,1.13339,0.93,0.99,5500,1.386
Kepler-310_d,0.401368,92.876125,,0.019315,,0.876,5797,0.220359
Kepler-204_c,0.170262,25.660593,,0.0131908,,1.238,5812,0.159693
Kepler-26_b,0.0902469,12.282356,0,0.0397121,0.65,0.59,3933,0.320884
Kepler-374_c,0.0432285,3.282807,,0.00409374,,0.911,5977,0.0981354
Kepler-395_b,0.0719854,7.054346,,0.00324127,,0.556,4262,0.0918904
HD_126614_A_b,2.36847,1244,0.41,0.385706,1.145,1.10978,5585,
Kepler-80_e,0.0544864,4.645387,,0.0121773,,0.637,4613,0.146311
Kepler-83_d,0.0585134,5.169796,,0.014298,,0.594,4648,0.173075
Kepler-167_b,0.0524957,4.393147,,0.010538,,0.696,4796,0.12936
Kepler-295_d,0.204929,33.884054,,0.00850717,,0.898,5603,0.121331
Kepler-337_b,0.043316,3.292781,,0.0115417,,1.761,5684,0.13739
HD_177830_b,1.13872,410.1,0.096,1.31967,1.17,3.99397,4752,
Kepler-226_d,0.0789926,8.109044,,0.00587447,,0.802,5571,0.108841
HD_38283_b,1.02382,363.2,0.41,0.338157,1.085,1.50465,5998,
Kepler-386_b,0.104341,12.31043,,0.00915403,,0.767,5178,0.124008
HD_217786_b,2.3791,1319,0.4,13.1868,1.02,1.15058,5966,
